Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Samadhi,01 Jan 1950,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.75 Cr
Babul,01 Jan 1950,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.70 Cr
Awaara,01 Jan 1951,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Albela,01 Jan 1951,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.90 Cr
Baazi,01 Jan 1951,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Deedar,01 Jan 1951,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.80 Cr
Jadoo,01 Jan 1951,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.75 Cr
Aan,01 Jan 1952,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Baiju Bawra,01 Jan 1952,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Daag,01 Jan 1952,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.80 Cr
Jaal,01 Jan 1952,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Anarkali,01 Jan 1953,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Nagin,01 Jan 1954,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5 Cr
Nastik,01 Jan 1954,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Taxi Driver,01 Jan 1954,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Uran Khatola,01 Jan 1955,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.10 Cr
Shree 420,01 Jan 1955,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Jhanak Jhanak Payal Baje,01 Jan 1955,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Azaad,01 Jan 1955,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Ek Hi Rasta,01 Jan 1956,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
